Date,Receipt number,Receipt type,Gross sales,Discounts,Net sales,Taxes,Total collected,Cost of goods,Gross profit,Payment type,Description,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Status
9/2/20 4:13 PM,5-3774,Sale,42.00,0.00,42.00,0.00,42.00,0.00,42.00,Card,"1 x Butter Chicken, 1 x Thai Basil Chicken, 1 x A&W Root Beer, 1 x Latte (Iced)",Table 11,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 4:09 PM,5-3773,Sale,12.00,0.00,12.00,0.00,12.00,0.00,12.00,Cash,1 x Chocolate (Iced),Table 14,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 4:07 PM,5-3772,Sale,2.00,0.00,2.00,0.00,2.00,0.00,2.00,Cash,1 x Extra Charge Kitchen,Table 7,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:56 PM,5-3771,Sale,52.00,0.00,52.00,0.00,52.00,0.00,52.00,Card,"1 x Butter Chicken, 1 x Crusted Chicken Chop Chop (Fries), 2 x Lemon Tea (Iced), 1 x Chocolate Nutella",Table 7,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:50 PM,5-3770,Sale,32.50,0.00,32.50,0.00,32.50,0.00,32.50,Cash,"1 x Salted Egg Chicken, 1 x Cheese Kaya Toast, 1 x Mineral Water (Iced), 1 x Mocha (Hot)",Table 15,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:43 PM,5-3769,Sale,41.00,0.00,41.00,0.00,41.00,0.00,41.00,Cash,"1 x Carbonara (Beef), 1 x Crusted Chicken Chop Chop (Fries), 2 x Lemon Tea (Iced)",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:38 PM,5-3768,Sale,41.50,0.00,41.50,0.00,41.50,0.00,41.50,Card,"1 x Salted Egg Chicken, 1 x Big Breakfast (Scrambled), 1 x Coca-Cola, 1 x Mineral Water (Iced)",Table 9,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:36 PM,5-3767,Sale,48.00,0.00,48.00,0.00,48.00,0.00,48.00,Card,"1 x Marinated Pan Seared Grilled Chicken (Fried Rice Upgrade), 1 x Salted Egg Chicken, 1 x Cookies & Cream Frappe, 1 x Mineral Water (Iced)",Table 2,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:26 PM,5-3766,Sale,18.00,0.00,18.00,0.00,18.00,0.00,18.00,Card,"1 x Creamy Curry (Beef), 1 x Coca-Cola",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:16 PM,5-3765,Sale,49.00,0.00,49.00,0.00,49.00,0.00,49.00,Card,"2 x Tom Yam Fried Rice (Seafood), 1 x Salted Egg Chicken, 1 x Teh Tarik (Iced), 1 x Tea (Iced), 1 x A&W Root Beer",Table 6,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:12 PM,5-3764,Sale,77.50,0.00,77.50,0.00,77.50,0.00,77.50,Cash,"1 x Fried Kuay Teow (Chicken), 1 x Mee Goreng (Beef), 1 x Mee Goreng (Seafood), 1 x Thai Basil Chicken, 1 x Carbonara (Beef), 1 x Chocolate Fudgy Brownies",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:09 PM,5-3763,Sale,46.00,0.00,46.00,0.00,46.00,0.00,46.00,TnGo e-Wallet,"1 x Salted Egg Chicken, 1 x Mac & Cheese (Chicken), 1 x Fries, 1 x Peach Tea (Iced), 1 x A&W Root Beer",Table 8,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:08 PM,5-3762,Sale,16.00,0.00,16.00,0.00,16.00,0.00,16.00,TnGo e-Wallet,"1 x Butter Chicken, 1 x Mineral Water (Iced)",Table 8,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:05 PM,5-3761,Sale,12.00,0.00,12.00,0.00,12.00,0.00,12.00,Card,1 x Solo Salted Caramel,Table 15,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 3:04 PM,5-3760,Sale,38.00,0.00,38.00,0.00,38.00,0.00,38.00,Card,"1 x Salted Egg Chicken, 1 x Masak Lemak Cili Api (Beef), 1 x Kaya Toast, 2 x Teh Tarik (Iced)",Table 15,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 2:59 PM,5-3759,Sale,34.00,0.00,34.00,0.00,34.00,0.00,34.00,Cash,"1 x Salted Egg Chicken, 1 x Honey Chilli Chicken, 1 x Tea (Iced), 1 x Coca-Cola",Table 13,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 2:50 PM,5-3758,Sale,47.00,0.00,47.00,0.00,47.00,0.00,47.00,Cash,"1 x Marinated Pan Seared Grilled Chicken (Fries), 1 x Masak Lemak Cili Api (Beef), 1 x Lemon Tea (Iced), 1 x Mint & Lime",Table 12,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 2:39 PM,5-3757,Sale,90.00,0.00,90.00,0.00,90.00,0.00,90.00,Card,"2 x Marinated Pan Seared Grilled Chicken (Fries), 1 x Mint & Lime, 1 x Mint & Lime, 1 x Masak Lemak Cili Api (Beef), 1 x Masak Lemak Cili Api (Seafood), 1 x Teh Tarik (Hot), 1 x Mineral Water (Iced)",Out 2,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 2:33 PM,5-3756,Sale,16.50,0.00,16.50,0.00,16.50,0.00,16.50,Cash,1 x Aglio Olio (Seafood),Table 6,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 2:26 PM,5-3755,Sale,21.00,0.00,21.00,0.00,21.00,0.00,21.00,Card,"1 x Crusted Chicken Chop Chop (Fries), 1 x Lemon Tea (Iced)",Table 7,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 2:25 PM,5-3754,Sale,29.50,0.00,29.50,0.00,29.50,0.00,29.50,Cash,"1 x Masak Lemak Cili Api (Chicken), 1 x Aglio Olio (Chicken), 1 x Mineral Water (Iced)",Table 7,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 2:23 PM,5-3753,Sale,52.00,0.00,52.00,0.00,52.00,0.00,52.00,Card,"1 x Butter Chicken, 1 x Crusted Chicken Chop Chop (Fries), 1 x Kinder Bueno Affle, 2 x Tea (Iced)",Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
9/2/20 2:19 PM,5-3752,Sale,1.50,0.00,1.50,0.00,1.50,0.00,1.50,Cash,1 x Extras,Dine in,POS 2020,Glaze Eatery,Owner,,,Closed
